id_anuncio,url,titulo,precio,superficie_m2,habitaciones,zona_scraping
f5f7c62c8da9,https://www.pisos.com/comprar/atico-cortes_huertas28014-58337211899_100500/,Ático en calle de Santa María,540000.0,90.0,1.0,Centro
813dfdf12bed,https://www.pisos.com/comprar/piso-cortes_huertas28012-60087103362_100500/,Piso en calle de Núñez de Arce,347500.0,47.0,2.0,Centro
04ac29aa90d3,https://www.pisos.com/comprar/piso-centro_embajadores_lavapies28012-61699193396_100500/,Piso en calle del Olivar,390000.0,104.0,2.0,Centro
a516ebabc6f9,https://www.pisos.com/comprar/apartamento-centro_palacio28005-35931287196_101800/,Apartamento en calle N-A,435000.0,40.0,1.0,Centro
0b6cf83ee8e2,https://www.pisos.com/comprar/piso-sol_barrio28013-55008522568_510067/,"Piso en calle Mayor, 16",3150000.0,438.0,5.0,Centro
1540d289e929,https://www.pisos.com/comprar/piso-universidad_malasana28004-61761538818_992099/,"Piso en calle de San Vicente Ferrer, 20",835000.0,101.0,2.0,Centro
810aae131287,https://www.pisos.com/comprar/piso-sol_barrio28012-61671826216_100500/,Piso en calle Mayor,1390000.0,132.0,4.0,Centro
0840ca40f94c,https://www.pisos.com/comprar/piso-universidad_malasana28004-60074401802_100500/,Piso en calle del Pez,835000.0,142.0,3.0,Centro
b37b491a9dab,https://www.pisos.com/comprar/piso-cortes_huertas28014-59235503749_101000/,Piso en calle de Atocha,1100000.0,142.0,5.0,Centro
46e1cd2ad778,https://www.pisos.com/comprar/piso-centro_palacio28013-59196570018_101000/,"Piso en calle de los Señores de Luzón, 4",680000.0,108.0,2.0,Centro
a19db355f45b,https://www.pisos.com/comprar/piso-sol_barrio28013-54251622625_100500/,"Piso en calle de Zaragoza, 6",980000.0,141.0,2.0,Centro
947ef4b713a0,https://www.pisos.com/comprar/duplex-centro_palacio28005-51742231035_100500/,Dúplex en calle de Valliciergo,1286000.0,170.0,2.0,Centro
2c84c90c068e,https://www.pisos.com/comprar/duplex-centro_palacio28005-30884125976_100900/,Dúplex en calle de Angosta de los Mancebos,350000.0,72.0,1.0,Centro
7a6b5da0616a,https://www.pisos.com/comprar/piso-cortes_huertas28012-62535872694_100500/,Piso en calle de la Cruz,495000.0,59.0,2.0,Centro
e16cdf6c3280,https://www.pisos.com/comprar/atico-universidad_malasana28004-62522899765_100200/,Ático en calle de la Madera,650000.0,88.0,3.0,Centro
33d2b25506b0,https://www.pisos.com/comprar/piso-justicia_chueca28004-60895772258_100500/,Piso en calle Libertad,650000.0,84.0,2.0,Centro
e71074b14be4,https://www.pisos.com/comprar/apartamento-universidad_malasana28015-59231809449_511322/,Apartamento en calle de San Bernardo,370000.0,42.0,1.0,Centro
c5d51f9f8d00,https://www.pisos.com/comprar/piso-centro_embajadores_lavapies28012-58370367411_102200/,Piso en calle de Valencia,999000.0,206.0,3.0,Centro
cb3f9611b007,https://www.pisos.com/comprar/piso-sol_barrio28013-39251931669_100500/,Piso en calle de la Montera,840000.0,80.0,2.0,Centro
9565d41afc64,https://www.pisos.com/comprar/piso-sol_barrio28013-55872079823_100500/,Piso en calle de la Montera,470000.0,61.0,1.0,Centro
